ID,Movie Names,Year,Genere,Rating
98,65,2023,"Science Fiction, Thriller, Drama, Action, Adventure",6.2
99,Harry Potter and the Chamber of Secrets,2002,"Adventure, Fantasy",7.7
100,Sonic the Hedgehog 2,2022,"Action, Adventure, Family, Comedy",7.6
101,Operation Seawolf,2022,"War, Thriller, Action, Adventure, Mystery, Science Fiction, Drama",6
102,Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy",7.7
103,Dungeons & Dragons: Honor Among Thieves,2023,"Adventure, Fantasy, Comedy",7.4
104,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure, Family, Fantasy",7.1
105,Big Top Scooby-Doo!,2012,"Family, Animation, Comedy, Mystery",7.9
106,Thor: Love and Thunder,2022,"Fantasy, Action, Comedy",6.5
107,The Secret Kingdom,2023,"Family, Fantasy, Adventure",7
108,Winnie the Pooh: Blood and Honey,2023,"Horror, Thriller",5.6
109,Turning Red,2022,"Animation, Family, Comedy, Fantasy",7.4
110,The Last Kingdom: Seven Kings Must Die,2023,"Action, Adventure, War",7.3
111,Unknown: Cosmic Time Machine,2023,Documentary,8.1
112,Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy, Family",7.8
113,The Angry Black Girl and Her Monster,2023,Horror,7.7
114,Prey,2022,"Thriller, Action, Science Fiction",7.8
115,Interstellar,2014,"Adventure, Drama, Science Fiction",8.4
116,Hotel Transylvania: Transformania,2022,"Animation, Comedy, Family, Adventure, Fantasy",7
117,The Tank,2023,"Horror, Thriller",5.2
118,Harry Potter and the Deathly Hallows: Part 2,2011,"Fantasy, Adventure",8.1
119,Terrifier 2,2022,"Horror, Thriller",6.9
120,Doctor Strange in the Multiverse of Madness,2022,"Fantasy, Action, Adventure",7.4
121,The Best Man,2023,"Action, Thriller",6.1
122,Renfield,2023,"Comedy, Horror, Fantasy",6.8
123,Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy",8
124,Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy, Mystery",7.7
125,The Suicide Squad,2021,"Action, Comedy, Adventure",7.6
126,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy",7.8
127,Minions: The Rise of Gru,2022,"Animation, Comedy, Family",7.4
128,Avatar,2009,"Action, Adventure, Fantasy, Science Fiction",7.6
129,Kingsman: The Secret Service,2014,"Crime, Comedy, Action, Adventure",7.6
130,Murder Mystery 2,2023,"Comedy, Crime",6.5
131,Justice League: Throne of Atlantis,2015,"Science Fiction, Action, Animation, Adventure",7
132,Prey for the Devil,2022,"Horror, Thriller",7.1
133,The Little Mermaid,1989,"Animation, Family, Fantasy",7.4
134,The Three Musketeers,2023,"Action, Adventure",5.5
135,Luck,2022,"Animation, Adventure, Comedy, Fantasy",7.9
136,Lullaby,2022,Horror,5.5
137,Fear the Invisible Man,2023,"Thriller, Horror, Science Fiction",7.5
138,Sing 2,2021,"Animation, Family",7.9
139,Titanic,1997,"Drama, Romance",7.9
140,Norm of the North: Keys to the Kingdom,2018,"Animation, Comedy, Family",6.1
141,Island of the Dolls,2023,Horror,5.2
142,Knock at the Cabin,2023,"Horror, Thriller, Mystery",6.4
143,The Whale,2022,Drama,8
144,Roald Dahl's Matilda the Musical,2022,"Family, Comedy, Fantasy",6.8
145,Beautiful Disaster,2023,"Romance, Drama, Comedy",6.5
146,Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",8.2
147,Insidious,2010,"Horror, Thriller",6.9
148,Megalodon,2018,"Action, Science Fiction, Horror, TV Movie",5.6
149,Stephen Curry: Underrated,2023,Documentary,7.6
150,The Godfather,1972,"Drama, Crime",8.7
151,Shotgun Wedding,2022,"Action, Comedy, Romance",6.4
152,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Animation, Comedy, Action, Family, Science Fiction",6
153,Fury,2014,"War, Drama, Action",7.5
154,Attack on Titan,2022,"Action, Science Fiction",6.1
155,Asteroid City,2023,"Comedy, Drama",6.7
156,Shark Bait,2022,"Horror, Thriller, Action, Adventure",5.8
157,Shrek,2001,"Animation, Comedy, Fantasy, Adventure, Family",7.7
158,Infinity Pool,2023,"Horror, Science Fiction, Thriller",6.4
159,Coraline,2009,"Animation, Family, Fantasy",7.8
160,Dumbo,1941,"Animation, Family",7
161,"Monsters, Inc.",2001,"Animation, Comedy, Family",7.8
162,Venom: Let There Be Carnage,2021,"Science Fiction, Action, Adventure",6.8
163,Toy Story,1995,"Animation, Adventure, Family, Comedy",8
164,Hacksaw Ridge,2016,"Drama, History, War",8.2
