ID,Movie Names,Year,Genere,Rating
3620,Movie 43,2013,Comedy,4.6
3621,Proximity,2020,"Science Fiction, Drama",6.1
3622,Pig,2021,"Drama, Thriller",6.7
3623,Billy Madison,1995,Comedy,6.2
3624,Keeping Up with the Joneses,2016,"Action, Comedy",6.1
3625,The Death of Superman,2018,"Science Fiction, Animation, Action, Drama",7.5
3626,The Pig Keeper's Daughter,1972,Comedy,4.9
3627,The Hunger Games: The Ballad of Songbirds & Snakes,2023,"Action, Adventure, Science Fiction",0
3628,Primeval,2007,"Adventure, Horror",6.1
3629,Gnome Alone,2017,"Family, Adventure, Animation, Comedy, Fantasy",6.1
3630,Ice Age: The Great Egg-Scapade,2016,"Adventure, Animation, Comedy, Family, TV Movie",6.4
3631,Falling for Christmas,2022,"Romance, Comedy, Family",6.3
3632,The Black Cauldron,1985,"Animation, Adventure, Family",6.4
3633,Baby Boy,2001,"Crime, Drama, Romance, Thriller",7.1
3634,State of Play,2009,Thriller,6.8
3635,The Green Knight,2021,"Adventure, Drama, Fantasy",6.6
3636,Walking on Sunshine,2014,"Comedy, Romance",6.3
3637,Cranston Academy: Monster Zone,2020,"Adventure, Science Fiction, Animation, Fantasy, Horror",6.1
3638,Bring It On: Worldwide #Cheersmack,2017,"Comedy, Romance",6.1
3639,Monster High: Haunted,2015,"Animation, Family, Fantasy",7.4
3640,Near Dark,1987,Horror,6.9
3641,Colors,1988,"Action, Crime, Drama",6.5
3642,Bad Teacher,2011,Comedy,5.6
3643,Sherlock Gnomes,2018,"Animation, Family, Fantasy, Comedy, Adventure, Mystery",5.7
3644,House,1986,"Comedy, Horror",6.1
3645,Mississippi Burning,1988,"Drama, Thriller, Crime, History, Mystery",7.7
3646,Rough Night,2017,"Drama, Comedy",5.7
3647,Kiss of the Dragon,2001,"Action, Crime, Thriller",6.8
3648,The Secret Invasion,1964,"Action, Drama, War, History",5.6
3649,The Land Before Time,1988,"Family, Animation, Adventure",7.1
3650,The Informer,2019,"Drama, Crime, Thriller",6.5
3651,An Extremely Goofy Movie,2000,"Animation, Family, Comedy",6.4
3652,The Miseducation of Cameron Post,2018,Drama,7
3653,Rampage: Capital Punishment,2014,"Action, Crime, Thriller",6
3654,The Boxtrolls,2014,"Animation, Comedy, Family, Fantasy",6.7
3655,The Last House on the Left,2009,"Crime, Thriller, Horror, Drama",6.5
3656,Gabriel's Inferno: Part II,2020,Romance,8.4
3657,Invasion of the Body Snatchers,1978,"Horror, Science Fiction",7.2
3658,Christmas Made to Order,2018,"TV Movie, Romance",6.2
3659,Home Team,2022,"Family, Comedy",6.8
3660,Chemical Hearts,2020,"Drama, Romance",7.4
3661,The System,2022,"Action, Crime, Thriller",7.7
3662,Here Comes the Boom,2012,"Comedy, Action",6.2
3663,Friday the 13th: A New Beginning,1985,"Horror, Mystery",5.3
3664,Z-O-M-B-I-E-S 2,2020,"Music, Romance, TV Movie",7.6
3665,L.O.L. Surprise! The Movie,2021,"Animation, Family",6.8
3666,Match Point,2005,"Drama, Thriller, Crime, Romance",7.3
3667,The Greatest Game Ever Played,2005,Drama,7.2
3668,Legacy of Lies,2020,"Thriller, Action",5.6
3669,Moving On,2023,"Comedy, Drama",5.8
3670,Ronin,1998,"Action, Thriller, Crime",6.9
3671,Eraser,1996,"Action, Drama, Mystery, Thriller",6
3672,Almost Famous,2000,"Drama, Music",7.5
3673,Flashback,2020,Thriller,6.3
3674,Two Weeks Notice,2002,"Comedy, Romance",6.4
3675,Babe,1995,"Fantasy, Drama, Comedy, Family",6.2
3676,The Curse of Bridge Hollow,2022,"Adventure, Comedy, Horror, Family",6.6
3677,Pet Sematary,2019,"Horror, Thriller",5.7
3678,American Gigolo,1980,"Crime, Drama, Mystery",6.1
3679,Mars Needs Moms,2011,"Adventure, Animation, Family",6
3680,An Affair to Die For,2019,"Thriller, Horror",6.1
3681,Escape from Pretoria,2020,"Drama, History, Thriller",7.3
3682,The World's End,2013,"Comedy, Action, Science Fiction",6.8
3683,Thunder Force,2021,"Action, Adventure, Comedy, Science Fiction",5.6
3684,Lego Friends: The Next Chapter: New Beginnings,2023,"Animation, Family",4.5
3685,Queenpins,2021,"Comedy, Crime",6.5
3686,The Adjustment Bureau,2011,"Science Fiction, Thriller, Romance",6.7
3687,Skiptrace,2016,"Action, Comedy, Thriller, Mystery",5.7
3688,Priest,2011,"Action, Fantasy, Horror, Thriller",5.8
3689,Species III,2004,"Science Fiction, Action, Horror",5.3
3690,Fat Man and Little Boy,1989,"Drama, History, War",6.2
3691,Gone Mom: The Disappearance of Jennifer Dulos,2021,"TV Movie, Thriller, Crime",7.8
3692,Drillbit Taylor,2008,Comedy,5.8
3693,Piglet's Big Movie,2003,"Animation, Family",6.7
3694,Napoleon,2023,"Drama, History, Action",0
3695,Last Moment of Clarity,2020,Thriller,5.3
3696,Antonio's Secret,2008,"Crime, Drama",5.8
3697,Dallas Buyers Club,2013,"Drama, History",7.9
3698,A League of Their Own,1992,"Comedy, Drama",7.2
3699,The Maid,2014,"Romance, Drama",4.4
3700,Antwone Fisher,2002,"Drama, Romance",6.8
3701,Monster's Ball,2001,"Drama, Romance",6.8
3702,Daddy Day Care,2003,"Comedy, Family",5.9
3703,Rogue,2020,"Action, Adventure",5.6
3704,The Land Before Time: The Great Valley Adventure,1994,"Animation, Adventure, Family",6.3
3705,The Outpost,2020,"War, Drama, History, Action",6.9
3706,Superman/Batman: Public Enemies,2009,"Science Fiction, Animation, Action, Adventure, Family",7
3707,The Haunting in Connecticut,2009,"Thriller, Horror",6.2
3708,Logan's Run,1976,"Action, Science Fiction",6.6
3709,Romancing the Stone,1984,"Adventure, Action, Romance, Comedy",6.7
3710,Double Threat,2023,"Action, Adventure, Comedy",3
3711,The NeverEnding Story II: The Next Chapter,1990,"Drama, Family, Fantasy, Adventure",5.7
3712,18 Year Old Virgin,2009,Comedy,4
3713,Incarnate,2016,"Horror, Thriller",5.4
3714,Solomon Kane,2009,"Adventure, Fantasy, Action",6
3715,Lost Highway,1997,"Drama, Thriller, Mystery",7.6
3716,The Sweetest Thing,2002,"Romance, Comedy",5.5
3717,Billy Elliot,2000,"Drama, Comedy, Music",7.6
3718,Jackass 4.5,2022,"Comedy, Action, Documentary",6.5
3719,Libido,1973,Drama,4.3
3720,The Boss Baby,2017,"Animation, Comedy, Family",6.5
3721,Sam Was Here,2016,"Horror, Mystery, Thriller",5.4
3722,Buffy the Vampire Slayer,1992,"Action, Comedy, Horror",5.6
3723,Aftermath,2017,"Drama, Thriller",5.7
3724,Allied,2016,"Action, Drama, War, Romance, Thriller",6.8
3725,Not Without My Daughter,1991,"Drama, Thriller",6.6
3726,Trouble with the Curve,2012,"Drama, Romance",6.9
3727,Twilight Zone: The Movie,1983,"Horror, Science Fiction, Fantasy",6.4
3728,Ben 10: Secret of the Omnitrix,2007,"Animation, Science Fiction, Family",7.3
3729,Hilda and the Mountain King,2021,"Animation, Adventure, Fantasy, Family, TV Movie",7.5
3730,The New World,2005,"Drama, History, Romance",6.5
3731,Coneheads,1993,"Comedy, Science Fiction, Family",5.3
3732,Mike's New Car,2002,"Animation, Comedy, Family, Fantasy",6.9
3733,The Space Between Us,2017,"Romance, Adventure, Science Fiction, Drama",7.1
3734,Lying and Stealing,2019,"Crime, Comedy, Drama",5.9
3735,The Prince,2014,"Thriller, Action",4.9
3736,Hellraiser: Hellworld,2005,"Horror, Thriller",4.8
3737,Black Lotus,2023,"Action, Thriller, Crime",5.9
3738,Jarhead: Law of Return,2019,War,6.5
3739,Paradise Alley,1978,"Action, Drama",5.8
3740,The Machinist,2004,"Thriller, Drama",7.5
3741,The War with Grandpa,2020,"Comedy, Family",6.4
3742,Hostiles,2017,"Western, Drama, History",6.9
3743,The Whole Nine Yards,2000,"Comedy, Crime",6.4
3744,Suspiria,2018,"Fantasy, Horror, Thriller, Drama",6.9
3745,Chernobyl Diaries,2012,"Horror, Thriller",5.2
3746,The Road,2009,"Adventure, Drama",7
3747,Get Smart,2008,"Action, Comedy, Thriller",6.2
3748,The Peacemaker,1997,"Action, Thriller",6
3749,The Report,2019,"Thriller, Drama",7
3750,Accepted,2006,Comedy,6.4
3751,30 Days of Night,2007,"Horror, Thriller",6.4
3752,Bratz,2007,"Comedy, Music, Family",5.7
3753,Braindead,1992,"Horror, Comedy",7.4
3754,Secret Window,2004,"Mystery, Thriller",6.6
3755,Cloud Atlas,2012,"Drama, Science Fiction",6.9
3756,U-571,2000,"War, Drama, Action, Thriller",6.4
3757,Snow White: A Tale of Terror,1997,"Fantasy, Horror",6
3758,The Dressmaker,2015,"Drama, Comedy",7
3759,Bright,2017,"Fantasy, Action, Thriller",6.2
3760,Romeo Must Die,2000,"Action, Crime, Thriller",6.2
3761,Overboard,2018,"Romance, Comedy",6.7
3762,Are We Done Yet?,2007,"Family, Comedy",5.8
3763,"Angus, Thongs and Perfect Snogging",2008,"Comedy, Drama, Family, Romance",6.4
3764,When the Bough Breaks,2016,"Mystery, Thriller, Drama, Horror",5.9
3765,24 Hours to Live,2017,"Action, Science Fiction, Thriller, Mystery",5.9
3766,When Harry Met Sally...,1989,"Comedy, Romance, Drama",7.4
3767,The Medallion,2003,"Thriller, Fantasy, Action, Comedy",5.6
3768,Blueback,2022,"Family, Drama, Adventure",7.3
3769,Natural Born Killers,1994,"Crime, Thriller, Drama",7.1
3770,Rubikon,2022,"Science Fiction, Thriller",5.6
3771,Fat Ass Zombies,2020,"Horror, Comedy",5
3772,Cocoon,1985,"Comedy, Drama, Science Fiction",6.6
3773,Slender Man,2018,"Horror, Mystery, Thriller",4.4
3774,Mirrors 2,2010,"Horror, Mystery, Fantasy",5.5
3775,What to Expect When You're Expecting,2012,"Romance, Comedy, Drama",6
3776,Titanic,1953,"Drama, Romance",6.5
3777,Leaving Las Vegas,1995,"Drama, Romance",7.3
3778,Young Guns,1988,"Western, Crime, Action, Adventure",6.7
3779,Spirit Halloween: The Movie,2022,"Adventure, Family, Horror, Fantasy",6.4
3780,Cold Blood,2019,"Thriller, Action",5.4
3781,Dragons: Dawn of the Dragon Racers,2014,"Animation, Family, Adventure, Comedy, Fantasy",7.2
3782,Before I Wake,2016,"Drama, Fantasy, Horror, Thriller",6.5
3783,The Seventh Day,2021,Horror,5.4
3784,Casino Royale,1967,"Adventure, Action, Comedy",5.3
3785,The Bone Collector,1999,"Drama, Mystery, Thriller, Crime",6.8
3786,Austin Powers: International Man of Mystery,1997,"Science Fiction, Comedy, Crime",6.6
3787,"Merry Christmas, Drake & Josh",2008,"Comedy, TV Movie",7.4
3788,Obsessed,2009,"Drama, Thriller",5.7
3789,Infamous,2020,Crime,5.8
3790,Mamma Mia! Here We Go Again,2018,"Comedy, Romance",7.1
3791,Spotlight,2015,"Drama, History",7.8
3792,Contagion,2011,"Drama, Thriller, Science Fiction",6.6
3793,Looking Glass,2018,"Thriller, Mystery",4.7
3794,The Choice,2016,"Drama, Romance",7.2
3795,Jason X,2001,"Horror, Science Fiction",4.9
3796,Dark Water,2005,"Horror, Mystery",5.6
3797,Four Brothers,2005,"Action, Crime",6.8
3798,The Final Girls,2015,"Comedy, Horror",6.4
3799,The Animatrix,2003,"Animation, Science Fiction",7.2
3800,Normal,2007,Drama,5.5
3801,"Extremely Wicked, Shockingly Evil and Vile",2019,Crime,7
3802,Fargo,1996,"Crime, Drama, Thriller",7.9
3803,Innerspace,1987,"Action, Comedy, Science Fiction",6.8
3804,Harold & Kumar Go to White Castle,2004,"Comedy, Adventure",6.5
3805,Brazil,1985,"Comedy, Science Fiction",7.7
3806,Babe: Pig in the City,1998,"Adventure, Comedy, Drama, Family, Fantasy",5.6
3807,Bulletproof Monk,2003,"Action, Comedy, Fantasy",5.5
3808,My Old Lady,2014,"Romance, Comedy, Drama",6.2
3809,The Midnight Meat Train,2008,"Horror, Mystery, Fantasy",6.1
3810,Home Invasion,2016,"Thriller, Drama, Crime, TV Movie",5.4
3811,Room,2015,"Drama, Thriller",8
3812,Against the Ice,2022,"Drama, Adventure, History",6.8
3813,Dreamland,2019,"Drama, Thriller",6
3814,Phone Booth,2003,Thriller,6.8
3815,Scooby-Doo! Pirates Ahoy!,2006,"Fantasy, Animation, Comedy, Family, Mystery, Adventure",7.6
3816,Phineas and Ferb: The Movie: Across the 2nd Dimension,2011,"Animation, Comedy, Family, TV Movie, Adventure, Science Fiction",7
3817,Dracula,1931,"Horror, Drama, Fantasy",7.2
3818,Poison Ivy: The New Seduction,1997,"Thriller, Romance, Drama",4.8
3819,Four Rooms,1995,"Crime, Comedy",5.8
3820,Adore,2013,Drama,6.1
3821,JFK,1991,"Drama, Thriller, History",7.6
3822,Teen Beach Movie,2013,"Family, Music, TV Movie, Comedy",6.9
3823,In the Line of Fire,1993,"Action, Drama, Thriller, Crime, Mystery",7
3824,Skin Trade,2014,"Thriller, Action, Drama",6.2
3825,Batman: Bad Blood,2016,"Science Fiction, Action, Animation",7.2
3826,Blockers,2018,Comedy,6.3
3827,Marmaduke,2010,"Family, Comedy",5.3
3828,The Bridges of Madison County,1995,"Drama, Romance",7.7
3829,Nerve,2016,"Mystery, Adventure, Crime",7.1
3830,Piranhaconda,2012,"Horror, Science Fiction, Comedy",5.1
3831,The Quick and the Dead,1995,"Western, Action, Thriller",6.5
3832,Pale Rider,1985,Western,7.2
3833,Gangs of New York,2002,"Drama, History, Crime",7.3
3834,Lucy Shimmers And The Prince Of Peace,2020,"Family, Drama",8.5
3835,The Little Rascals Save the Day,2014,Comedy,6
3836,The Strangers,2008,"Horror, Mystery, Thriller",6.1
3837,The Card Counter,2021,"Crime, Thriller, Drama",6.2
3838,Riley's First Date?,2015,"Animation, Family",7.1
3839,Dear John,2010,"Drama, Romance, War",6.8
3840,Lucky Number Slevin,2006,"Drama, Thriller, Crime, Mystery",7.5
3841,The Replacements,2000,Comedy,6.6
3842,Man on a Ledge,2012,"Action, Thriller, Crime",6.4
3843,Let There Be Light,2017,Drama,6
3844,The Flintstones in Viva Rock Vegas,2000,"Comedy, Family, Romance",4.8
3845,Crazy Rich Asians,2018,"Comedy, Drama, Romance",7.1
3846,Ilsa: She Wolf of the SS,1975,"Thriller, Horror, War",6.1
3847,Passenger 57,1992,"Action, Adventure, Thriller",5.9
3848,The Lost Boys,1987,"Horror, Comedy, Thriller",7.1
3849,Bring It On,2000,Comedy,6.2
3850,So Undercover,2012,"Action, Comedy",6.2
3851,The Devil All the Time,2020,"Crime, Drama, Thriller",7.2
3852,Get Hard,2015,Comedy,6
3853,Hannah Montana: The Movie,2009,"Comedy, Drama, Family, Music, Romance",6.6
3854,Cool Runnings,1993,"Comedy, Adventure, Drama",7
3855,Outlaw King,2018,"Action, History, Drama, War",6.8
3856,1492: Conquest of Paradise,1992,"Action, Adventure, Drama, History",6.2
3857,M*A*S*H,1970,"Comedy, Drama, War",7
3858,Shaft,2019,"Action, Crime",6.5
3859,Okja,2017,"Adventure, Drama, Science Fiction, Fantasy",7.4
3860,The Spectacular Now,2013,"Comedy, Drama, Romance",6.6
3861,The Last Legion,2007,"Action, Adventure, Fantasy, War",5.6
3862,The Fog,2005,"Horror, Thriller",4.5
3863,Peter Rabbit,2018,"Animation, Adventure, Family",6.7
3864,Fire and Ice,1983,"Animation, Fantasy, Science Fiction",6.6
3865,Catwoman: Hunted,2022,"Animation, Action, Crime",5.9
3866,Below,2002,"Thriller, Horror, Mystery",6
3867,Let It Shine,2012,"Family, Music, TV Movie",6.9
3868,Moonlight,2016,Drama,7.4
3869,Yogi Bear,2010,"Comedy, Family, Animation, Adventure",5.6
3870,Women Talking,2022,Drama,6.9
3871,Dog Soldiers,2002,"Horror, Action, Thriller",6.7
3872,The Lincoln Lawyer,2011,"Crime, Drama, Thriller",7.2
3873,The Professionals,1966,"Western, Action, Adventure",7.1
3874,We Need to Talk About Kevin,2011,"Drama, Thriller",7.6
3875,Identity,2003,"Mystery, Thriller",7.2
3876,Palm Swings,2017,"Comedy, Drama, Romance",6.5
3877,Reminiscence,2021,"Mystery, Science Fiction",6.7
3878,The Fall of the Roman Empire,1964,"Drama, History, War",6.5
3879,Strange Magic,2015,"Music, Animation, Family, Fantasy",7.1
3880,Angel Heart,1987,"Horror, Mystery",7.1
3881,My Spy,2020,"Family, Action, Comedy",6.9
3882,Uncle Buck,1989,"Comedy, Drama, Family",6.8
3883,Fallen,2016,"Drama, Fantasy, Romance",6.1
3884,The Sting,1973,"Comedy, Crime, Drama",8
3885,Encounter,2021,"Science Fiction, Mystery, Thriller, Drama",6.4
3886,John Q,2002,"Drama, Thriller, Crime",7.1
3887,Push,2009,"Science Fiction, Action, Adventure, Thriller",6.1
3888,Courage Under Fire,1996,"Drama, Thriller, Mystery, War",6.4
3889,Under the Silver Lake,2018,"Crime, Drama, Mystery",6.4
3890,The Captive,2014,"Drama, Thriller, Crime",5.8
3891,Mercury Rising,1998,"Action, Crime, Drama, Thriller",6.3
3892,Speed 2: Cruise Control,1997,"Action, Adventure, Thriller",4.6
3893,2067,2020,"Science Fiction, Thriller",5.3
3894,The Monuments Men,2014,"War, Drama, History, Action",6
3895,The Astronaut's Wife,1999,"Drama, Science Fiction, Thriller",5.6
3896,Close,2019,"Action, Adventure, Thriller",5.8
3897,The Mystery of Marilyn Monroe: The Unheard Tapes,2022,Documentary,6.3
3898,Garfield Gets Real,2007,"Family, Animation, Comedy",5
3899,Secret Admirer,1985,"Comedy, Romance",6.9
3900,Problem Child 2,1991,"Comedy, Family",5.8
3901,Big Fish,2003,"Adventure, Fantasy, Drama",7.8
3902,Elizabeth Harvest,2018,"Science Fiction, Thriller, Horror, Mystery",6.2
3903,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,"Science Fiction, Comedy, Adventure, Romance",6
3904,Crimson Peak,2015,"Horror, Romance",6.6
3905,Aftermath,2021,"Horror, Crime, Drama, Thriller",6.3
3906,Hotel Rwanda,2004,"Drama, History, War",7.7
3907,The Bucket List,2007,"Drama, Comedy",7.2
3908,Control,2022,"Science Fiction, Thriller, Mystery",5.5
3909,Anchorman: The Legend of Ron Burgundy,2004,Comedy,6.7
3910,Killing Hasselhoff,2017,Comedy,4.6
3911,Monster,2003,"Crime, Drama",7.2
3912,Invisible Sister,2015,"Fantasy, Adventure, Comedy, TV Movie",6.7
3913,Kung Fu Panda: Secrets of the Scroll,2016,"Animation, Family, Comedy",6.8
3914,Exit Wounds,2001,"Action, Crime, Thriller",5.7
3915,Dead Man Down,2013,"Thriller, Action, Crime, Drama",6.2
3916,The X Files,1998,"Mystery, Science Fiction, Thriller",6.8
3917,Boiler Room,2000,"Crime, Drama, Thriller",6.7
3918,Valentine's Day,2010,"Comedy, Romance",5.9
3919,The Old Guard,2020,"Action, Fantasy",7.2
3920,Starship Troopers 2: Hero of the Federation,2004,"Adventure, Horror, Action, Science Fiction",4.3
3921,Darkeplica,2023,Thriller,0
3922,The Strangers: Prey at Night,2018,Horror,5.6
3923,The Green Hornet,2011,"Action, Crime, Comedy",5.6
3924,16 Wishes,2010,"Fantasy, Drama, Family",6.3
3925,Darby and the Dead,2022,"Comedy, Fantasy",6.1
3926,Abigail,2019,"Adventure, Fantasy, Mystery",6.2
3927,Holidate,2020,"Comedy, Romance",7.1
3928,The Last Exorcism,2010,"Horror, Thriller, Mystery",5.6
3929,Dreamin’ Wild,2023,"Music, Drama",0
3930,First Daughter,2004,"Family, Comedy, Drama, Romance",6.1
3931,Anthropoid,2016,"History, Thriller, War",7.1
3932,The Owners,2020,"Thriller, Horror",5.7
3933,Causeway,2022,Drama,6.7
3934,The Day the Earth Stood Still,1951,"Drama, Science Fiction, Thriller",7.5
3935,A.I. Rising,2018,"Science Fiction, Drama, Romance",5.1
3936,City Slickers,1991,"Comedy, Western",6.4
3937,Spanglish,2004,Comedy,6
3938,Green Lantern: Emerald Knights,2011,"Action, Adventure, Animation, Science Fiction, Drama",6.7
3939,Rebel Without a Cause,1955,Drama,7.6
3940,Tyler Perry's A Madea Homecoming,2022,Comedy,6.8
3941,Rage,2014,"Action, Crime, Thriller",5.3
3942,Vengeance: A Love Story,2017,"Action, Drama, Thriller",5.6
3943,Stitch! The Movie,2003,"Comedy, Adventure, Family, Animation",6.5
3944,Under the Skin,2014,"Thriller, Science Fiction, Drama",6.1
3945,Flashdance,1983,"Drama, Romance",6.5
3946,Dog Gone,2023,"Family, Adventure, Drama",6.3
3947,Weird: The Al Yankovic Story,2022,"Music, Comedy",6.8
3948,Seberg,2019,"Thriller, Drama",5.9
3949,The Woman in Black 2: Angel of Death,2014,"Thriller, Horror, Drama",5.3
3950,Black Rain,1989,"Drama, Action, Thriller",6.6
3951,27 Dresses,2008,"Comedy, Romance",6.4
3952,Mr. Nobody,2009,"Science Fiction, Drama, Romance, Fantasy",7.8
3953,*batteries not included,1987,"Science Fiction, Comedy, Family, Fantasy",6.6
3954,"Roman J. Israel, Esq.",2017,"Drama, Crime, Thriller",6.3
3955,Heist,2015,"Action, Crime, Thriller",6.1
3956,In the Tall Grass,2019,"Horror, Drama, Thriller",5.5
3957,The Butterfly Effect 3: Revelations,2009,"Science Fiction, Thriller, Drama, Crime",5.5
3958,Curious Caterer: Dying for Chocolate,2022,"TV Movie, Mystery",6.7
3959,The Spine of Night,2021,"Animation, Fantasy, Action, Horror",6
3960,Justice League Dark,2017,"Animation, Action, Fantasy",7.3
3961,The Rescuers,1977,"Fantasy, Family, Animation, Adventure",6.8
3962,Tentacles,2021,"Horror, Romance",6
3963,Jurassic World Camp Cretaceous: Hidden Adventure,2022,"Action, Adventure, Animation",5.5
3964,Resistance,2020,"War, History, Drama",7
3965,Rudolph the Red-Nosed Reindeer,1964,"Animation, Family, TV Movie",7.4
3966,Surrounded,2023,"Western, Action, Drama",5.8
3967,Doomsday,2008,"Action, Thriller, Science Fiction",6
3968,American Me,1992,"Crime, Drama",7.4
3969,The Swimmers,2022,"Drama, History",7.5
3970,Fighting with My Family,2019,Comedy,6.9
3971,The Girl Next Door,2007,"Thriller, Crime, Drama, Horror",6.6
3972,DuckTales: The Movie - Treasure of the Lost Lamp,1990,"Adventure, Animation, Family, Comedy, Fantasy",6.7
3973,Paranormal Activity 4,2012,Horror,5.4
3974,Rogue,2007,"Action, Horror, Thriller",6.4
3975,The Invasion,2007,"Science Fiction, Thriller, Mystery",6
3976,"Honey, I Blew Up the Kid",1992,"Adventure, Comedy, Family, Science Fiction",5.2
3977,Kidnap,2017,"Drama, Thriller",6.2
3978,Deep Blue Sea 2,2018,"Action, Horror, Science Fiction",5.1
3979,Addicted,2014,"Drama, Thriller",5.8
3980,Justice League vs. the Fatal Five,2019,"Animation, Action, Science Fiction",6.8
3981,Gettysburg,1993,"Drama, History, War",6.9
3982,Fly Away Home,1996,"Action, Adventure, Drama, Family",6.9
3983,Newness,2017,"Romance, Drama",6.1
3984,"Three Billboards Outside Ebbing, Missouri",2017,"Crime, Drama",8.1
3985,The Marine 3: Homefront,2013,Action,6.2
3986,Never Back Down: Revolt,2021,Action,6.5
3987,Leatherface: The Texas Chainsaw Massacre III,1990,Horror,5.3
3988,Dog Day Afternoon,1975,"Crime, Drama, Thriller",7.8
3989,Hypnotic,2021,"Thriller, Drama, Horror",6
3990,The Time Traveler's Wife,2009,"Drama, Romance, Fantasy",6.9
3991,Soft & Quiet,2022,"Drama, Horror, Mystery, Thriller",6.1
3992,Being John Malkovich,1999,"Comedy, Drama, Fantasy",7.4
3993,After Hours,1985,"Comedy, Thriller, Drama",7.5
3994,The Man with the Iron Heart,2017,"War, Action, History, Thriller",6.6
3995,Kill 'em All,2017,"Action, Crime",5.3
3996,Star Trek: First Contact,1996,"Science Fiction, Action, Adventure, Thriller",7.3
3997,Joy Ride,2001,"Mystery, Thriller, Drama",6.5
3998,Apollo 18,2011,"Horror, Thriller, Science Fiction",5.3
3999,Hell or High Water,2016,"Western, Crime, Drama",7.3
4000,My Little Pony: Equestria Girls,2013,"Animation, Comedy, Family, Fantasy, Music",7.3
4001,Wall Street,1987,"Crime, Drama",7.2
4002,Shaun the Sheep Movie,2015,"Family, Animation, Comedy, Adventure",7
4003,The Scorpion King 2: Rise of a Warrior,2008,"Action, Adventure, Fantasy, Science Fiction",4.6
4004,Bridesmaids,2011,"Comedy, Romance",6.5
4005,Kajillionaire,2020,"Crime, Drama, Comedy",6.4
4006,All Quiet on the Western Front,1930,"Drama, War",7.8
4007,Saw,2003,"Crime, Horror, Thriller",7
4008,A Madea Family Funeral,2019,Comedy,5.9
4009,Police Academy 3: Back in Training,1986,"Comedy, Crime",5.8
4010,The Wedding Planner,2001,"Comedy, Romance",5.9
4011,Possessor Uncut,2020,"Horror, Thriller, Science Fiction",6.3
4012,Grimsby,2016,"Action, Comedy",5.9
4013,Winnie the Pooh: Springtime with Roo,2004,"Adventure, Animation, Comedy, Family",6.6
4014,Suite Française,2015,"Drama, Romance, War",7.3
4015,Ransom,1996,"Action, Thriller",6.6
4016,The Condemned 2,2015,Action,5
4017,Heathers,1989,"Comedy, Crime",7.3
4018,Nomadland,2021,Drama,7.2
4019,Primer,2004,"Science Fiction, Drama, Thriller",6.8
4020,The King of Staten Island,2020,"Comedy, Drama",7
4021,The Tuxedo,2002,"Thriller, Action, Comedy, Science Fiction",5.7
4022,Selena,1997,"Drama, Music, History",7.7
4023,Slither,2006,"Horror, Science Fiction, Comedy",6.5
4024,90 Minutes in Heaven,2015,Drama,6
4025,Legally Blondes,2009,Comedy,5.7
4026,RocknRolla,2008,"Action, Crime, Thriller",7
4027,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",7.8
4028,Accident Man,2018,"Action, Crime, Thriller",6.1
4029,Gentlemen Prefer Blondes,1953,"Comedy, Romance",7.3
4030,To Rome with Love,2012,"Romance, Comedy, Drama",5.8
4031,Clouds,2020,"Music, Drama, Romance",8.3
4032,Dumb and Dumberer: When Harry Met Lloyd,2003,Comedy,4.2
4033,Airport '77,1977,"Action, Adventure, Drama, Thriller",5.6
4034,Wish,2023,"Animation, Family, Fantasy, Music",0
4035,Just Like Heaven,2005,"Drama, Comedy, Romance, Fantasy",6.9
4036,The DUFF,2015,"Romance, Comedy",6.8
4037,Safe House,2012,"Action, Thriller",6.4
4038,Halo: Nightfall,2014,Science Fiction,7
4039,Punch-Drunk Love,2002,"Drama, Comedy, Thriller, Romance",7.1
4040,Empire State,2013,"Action, Drama",5.4
4041,Cape Fear,1991,"Crime, Thriller, Drama",7.3
4042,Wizards of Waverly Place: The Movie,2009,"Family, TV Movie, Adventure, Comedy, Drama, Fantasy, Action",6.6
4043,In Full Bloom,2019,"Action, Drama",6.9
4044,"Good Morning, Vietnam",1987,"Comedy, Drama, War",7.3
4045,G-Force,2009,"Animation, Family, Fantasy, Action, Adventure, Comedy",5.5
4046,The Shaggy Dog,2006,"Comedy, Family",4.9
4047,My Cousin Vinny,1992,Comedy,7.5
4048,There's Someone Inside Your House,2021,"Thriller, Horror, Mystery",5.5
4049,Lord of the Flies,1990,"Adventure, Drama, Thriller",6.3
4050,Zombeavers,2014,"Horror, Action, Comedy",4.9
4051,Escape to Victory,1981,"Drama, War",6.9
4052,A Call to Spy,2020,"History, Crime, Drama",6.9
4053,StarDog and TurboCat,2019,"Animation, Comedy, Family",7.2
4054,In the Name of the King 2: Two Worlds,2011,"Adventure, Fantasy, Drama, Action",4
4055,12 Feet Deep,2017,"Thriller, Horror",5.6
4056,West Side Story,2021,"Drama, Romance, Crime",7.1
4057,The Cobbler,2014,"Fantasy, Comedy, Drama",5.8
4058,Death Race 2000,1975,"Action, Comedy, Science Fiction",6
4059,The Zookeeper's Wife,2017,"Drama, History, War",7.4
4060,The Princess Switch,2018,"Romance, Comedy",7
4061,The Favourite,2018,"Drama, Comedy, Thriller",7.5
4062,Good Time,2017,"Crime, Thriller",7.2
